restaurant_id,restaurant_name,description,location,cuisine_type,rating
65,カレー食堂,家庭的なカレーライス,"34.9878,135.7605",Curry,4.1
66,Tempura Daikichi,大吉の天ぷら定食,"35.6718,139.7067",Tempura,4.5
67,Sushi Ginza,銀座の高級寿司店,"35.6727,139.7651",Sushi,4.9
68,ラーメン幸楽苑,醤油ラーメンのチェーン,"35.6912,139.6956",Ramen,4.2
69,Teppanyaki Kobe,神戸牛の鉄板焼き,"34.6927,135.5051",Teppanyaki,4.8
70,うどん丸亀,讃岐うどんのチェーン,"34.6659,135.4991",Udon,4.3
71,Yakiniku Gyukaku,焼き肉チェーンの人気店,"35.6672,139.7304",Yakiniku,4.4
72,Soba Ichiban,老舗そば屋の伝統出汁,"35.7131,139.8001",Soba,4.5
73,カレー専門店,スパイシーなインド風カレー,"35.6821,139.7678",Curry,4.2
74,Izakaya Shogun,将軍の雰囲気の居酒屋,"34.6734,135.5045",Izakaya,4.3
75,天ぷら大和,老舗の天ぷら専門店,"35.6698,139.7332",Tempura,4.6
76,Sushi Hokkaido,北海道の新鮮な寿司,"43.0691,141.3512",Sushi,4.7
77,Ramen Shinjuku,新宿の濃厚ラーメン,"35.6896,139.7012",Ramen,4.4
78,Tonkatsu Sakura,さくらとんかつ定食,"34.6703,135.5023",Tonkatsu,4.3
79,Okonomiyaki Hana,花のお好み焼き店,"34.6691,135.5005",Okonomiyaki,4.5
80,しゃぶしゃぶ富士,富士山をイメージしたしゃぶしゃぶ,"35.6834,139.7672",Shabu Shabu,4.7
81,うなぎ江戸,江戸風うなぎの老舗,"35.6791,139.7423",Unagi,4.6
82,Yakitori Momo,桃の焼き鳥専門店,"35.6746,139.7603",Izakaya,4.3
83,カレーヤ,欧風カレーの人気店,"34.9883,135.7610",Curry,4.2
84,Tempura Matsuya,松屋の天ぷら定食,"35.6723,139.7071",Tempura,4.5
85,Sushi Ueno,上野の老舗寿司店,"35.7136,139.8006",Sushi,4.8
86,ラーメン天下一品,濃厚スープのラーメンチェーン,"34.9874,135.7583",Ramen,4.4
87,Teppanyaki Sakura,桜の鉄板焼きレストラン,"34.6932,135.5061",Teppanyaki,4.7
88,うどん大黒,讃岐うどんの老舗,"34.6663,135.4996",Udon,4.3
89,Yakiniku Toraji,トラジの焼き肉チェーン,"35.6677,139.7310",Yakiniku,4.5
90,Soba Kanda,神田のそば専門店,"35.6917,139.6962",Soba,4.4
91,カレー博多,博多風カレーライス,"33.5896,130.4210",Curry,4.2
92,Izakaya Ninja,忍者テーマの居酒屋,"34.6739,135.5050",Izakaya,4.3
93,天ぷら寿,寿の天ぷらコース,"35.6704,139.7341",Tempura,4.6
94,Sushi Asakusa,浅草の伝統寿司店,"35.7141,139.8012",Sushi,4.7
95,Ramen Fukuoka,福岡の豚骨ラーメン,"33.5901,130.4218",Ramen,4.5
96,Tonkatsu Yamato,大和のとんかつ専門店,"34.6708,135.5028",Tonkatsu,4.3
97,Okonomiyaki Taro,太郎のお好み焼き店,"34.6696,135.5010",Okonomiyaki,4.4
98,しゃぶしゃぶ月,月のしゃぶしゃぶレストラン,"35.6839,139.7677",Shabu Shabu,4.7
99,うなぎ富士,富士のうなぎ料理,"34.7110,137.7263",Unagi,4.6
100,Yakitori Hana,花の焼き鳥と日本酒,"35.6751,139.7608",Izakaya,4.3
